b4b2/4p3/1rq4n/3pPk1p/1P1P2rP/N1P3p1/PKNB4/R7 b - - 1 45, 0
b4b2/4p3/2q4n/1r1pPk1p/1P1P2rP/N1P3p1/PKNB4/R7 w - - 2 46, 0
b4b2/4p3/2q4n/1r1pPk1p/1P1P2rP/NKP3p1/P1NB4/R7 b - - 3 46, 0
b4b2/4p3/2q4n/3pPk1p/1r1P2rP/NKP3p1/P1NB4/R7 w - - 0 47, 0
b4b2/4p3/2q4n/3pPk1p/1K1P2rP/N1P3p1/P1NB4/R7 b - - 0 47, 0
b4b2/4p3/7n/3pPk1p/qK1P2rP/N1P3p1/P1NB4/R7 w - - 1 48, 0
b4b2/4p3/7n/2KpPk1p/q2P2rP/N1P3p1/P1NB4/R7 b - - 2 48, 0
rnbqkbnr/pppppppp/8/8/8/2P5/PP1PPPPP/RNBQKBNR b KQkq - 0 1, 1
rnbqkbnr/ppppp1pp/5p2/8/8/2P5/PP1PPPPP/RNBQKBNR w KQkq - 0 2, 1
rnbqkbnr/ppppp1pp/5p2/8/7P/2P5/PP1PPPP1/RNBQKBNR b KQkq - 0 2, 0
rnbqkbnr/pppp2pp/5p2/4p3/7P/2P5/PP1PPPP1/RNBQKBNR w KQkq - 0 3, 0
rnbqkbnr/pppp2pp/5p2/4p3/7P/2P4R/PP1PPPP1/RNBQKBN1 b Qkq - 1 3, 0
rnbqk1nr/pppp2pp/5p2/4p3/1b5P/2P4R/PP1PPPP1/RNBQKBN1 w Qkq - 2 4, 1
rnbqk1nr/pppp2pp/5p2/4p3/Qb5P/2P4R/PP1PPPP1/RNB1KBN1 b Qkq - 3 4, 0
rnbqkbnr/pppp2pp/5p2/4p3/Q6P/2P4R/PP1PPPP1/RNB1KBN1 w Qkq - 4 5, 1
rnbqkbnr/pppp2pp/5p2/4p3/7P/1QP4R/PP1PPPP1/RNB1KBN1 b Qkq - 5 5, 0
r1bqkbnr/pppp2pp/2n2p2/4p3/7P/1QP4R/PP1PPPP1/RNB1KBN1 w Qkq - 6 6, 0
r1bqkbnr/pppp1Qpp/2n2p2/4p3/7P/2P4R/PP1PPPP1/RNB1KBN1 b Qkq - 7 6, 0
r1bq1bnr/pppp1kpp/2n2p2/4p3/7P/2P4R/PP1PPPP1/RNB1KBN1 w Q - 0 7, 0
r1bq1bnr/pppp1kpp/2n2p2/4p3/7P/2P3PR/PP1PPP2/RNB1KBN1 b Q - 0 7, 0
r1bq1b1r/pppp1kpp/2n2p1n/4p3/7P/2P3PR/PP1PPP2/RNB1KBN1 w Q - 1 8, 0
